id,venue,venue_short,name_official,gender,age,education,education_field,education_university,participation_type,with_partner,with_friends,with_alone,with_children,with_other,with_custom,info_source,info_source_custom,frequency,reason,reason_custom,resid_proximity,transport,transport_line,transport_custom,problem,problem_custom,geo_preference,other_events_ktw,other_events_outside,other_events_district,other_events_mdk,other_events_none,ev_screening,ev_concert,ev_theatre,ev_literary,ev_outdoor,ev_fitness,ev_crafts,ev_diy,ev_coding,ev_training,ev_other,ev_training_custom,ev_custom,address_city,address_district
121,murck,MDK Murcki,MDK Południe,K,31,high,Biotechnologia,Uniwersytet Śląski,child,,,,1.0,,,scmed,,week,topic,,yes,foot,,,no,,event,,,1.0,,,,,,,1.0,1.0,,,,,,,,Katowice,Murcki
122,murck,MDK Murcki,MDK Południe,K,64,mid,,,child,,,,1.0,,,recom,,week,other,Spędzenie czasu z dzieckiem,yes,foot,,,no,,event,,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,Katowice,Murcki
123,piotr,MDK Piotrowice,MDK Południe,M,35,high,Transport,Politechnika Śląska,child,,,,1.0,,,scmed,,less,group,,yes,car,,,no,,event,,,1.0,,,,,1.0,,,1.0,1.0,,,1.0,,Plastyczne,,Katowice,Piotrowice – Ochojec
124,murck,MDK Murcki,MDK Południe,K,41,mid,,,child,,,,1.0,,,recom,,less,other,Atrakcja dla dziecka,no,car,,,no,,event,1.0,,,,,,1.0,,,,1.0,,,,1.0,,Dla dzieci,,Katowice,Giszowiec
125,murck,MDK Murcki,MDK Południe,K,46,high,Księgowość,,event,,,1.0,,,,outdr,,week,topic,,yes,bike,,,no,,event,1.0,,,,,,,,,,1.0,,,,1.0,,,,Katowice,Murcki
126,murck,MDK Murcki,MDK Południe,K,41,mid,,,event,,,1.0,,,,outdr,,week,close,,yes,car,,,no,,trnsp,1.0,,,,,,,,,1.0,1.0,,,,1.0,,Kulinarne,,Katowice,Murcki
127,murck,MDK Murcki,MDK Południe,K,60,high,Organizacja,Politechnika Śląska,event,,,1.0,,,,outdr,,week,other,Zajęcia ruchowe,yes,bike,,,no,,event,1.0,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,Katowice,Murcki
128,murck,MDK Murcki,MDK Południe,M,30,mid,,,event,,,1.0,,,,recom,,first,other,Problemy z kręgosłupem,yes,car,,,no,,event,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,Katowice,Murcki
129,murck,MDK Murcki,MDK Południe,K,28,high,Zarządzanie,Politechnika Śląska,event,,1.0,,,,,recom,,week,group,,yes,car,,,no,,event,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,Kulinarne,,Katowice,Murcki
130,murck,MDK Murcki,MDK Południe,K,46,mid,,,event,,1.0,,,,,outdr,,week,group,,yes,foot,,,no,,event,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,Katowice,Murcki
131,murck,MDK Murcki,MDK Południe,K,45,mid,,,event,,1.0,,,,,recom,,week,topic,,yes,foot,,,no,,event,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,Katowice,Murcki
132,ksztk,MDK Koszutka,MDK Koszutka,M,29,mid,,,event,,1.0,,,,,guide,,less,group,,no,publc,T 6,,no,,event,,1.0,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,
136,ksztk,MDK Koszutka,MDK Koszutka,K,73,high,,,event,,1.0,,,,,scmed,,less,group,,no,publc,801,,no,,trnsp,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,Sosnowiec,
135,ksztk,MDK Koszutka,MDK Koszutka,M,73,mid,,,event,1.0,,,,,,guide,,week,free,,yes,foot,,,no,,event,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,Katowice,Koszutka
137,ksztk,MDK Koszutka,MDK Koszutka,K,70,mid,,,event,,,1.0,,,,wwmdk,,week,topic,,no,publc,Tram 13 bus 5,,no,,event,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,Siemianowice Śląskie,
138,ksztk,MDK Koszutka,MDK Koszutka,K,86,high,,,event,,,1.0,,,,media,,less,topic,,no,publc,11,,no,,event,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,Katowice,Załęska Hałda – Brynów Część Zachodnia
141,ksztk,MDK Koszutka,MDK Koszutka,K,69,high,,,event,,1.0,,,,,www,,less,other,,no,publc,Tram 6,,no,,event,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,Katowice,Śródmieście
142,ksztk,MDK Koszutka,MDK Koszutka,K,30,high,Zarządzanie,Akademia Górniczo Hutnicza,child,,,,1.0,,,none,,week,close,,yes,foot,,,no,,event,1.0,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,
143,ksztk,MDK Koszutka,MDK Koszutka,M,73,high,,,event,,,1.0,,,,www,,first,other,,no,car,,,yes,Parkowanie,trnsp,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,Mysłowice,
144,ksztk,MDK Koszutka,MDK Koszutka,K,76,high,Psychologia,Uniwersytet Jagielloński,child,,,,1.0,,,outdr,,month,group,,yes,foot,,,no,,event,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,Katowice,Śródmieście
145,ksztk,MDK Koszutka,MDK Koszutka,K,34,high,,,child,,,,1.0,,,www,,week,other,Przedszkole,no,car,,,yes,Parkowanie,event,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,Dla dzieci,,Siemianowice Śląskie,
146,ksztk,MDK Koszutka,MDK Koszutka,K,73,high,,,event,,,1.0,,,,scmed,,less,topic,,yes,publc,Tram 11,,no,,event,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,Katowice,Osiedle Tysiąclecia
147,ksztk,MDK Koszutka,MDK Koszutka,K,87,high,Budownictwo,Politechnika Śląska,event,,,1.0,,,,other,zaproszenie,week,free,,no,publc,6,,no,,event,1.0,,,,,,1.0,,,,,,,,,,,,Katowice,Śródmieście
148,ksztk,MDK Koszutka,MDK Koszutka,K,72,high,,,event,,1.0,,,,,media,,month,topic,,no,publc,Tram 6,,no,,event,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,Katowice,Załęska Hałda – Brynów Część Zachodnia
149,ksztk,MDK Koszutka,MDK Koszutka,K,75,high,Ekonomia,Uniwersytet Ekonomiczny w Katowicach,event,,1.0,,,,,other,zaproszenie,less,topic,,yes,publc,193,,no,,event,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,
150,murck,MDK Murcki,MDK Południe,M,64,mid,,,event,,1.0,,,,,other,Własna inicjatywa,week,group,,yes,foot,,,no,,event,1.0,,,,,,,,,1.0,,,,,,,,,Katowice,Murcki
151,murck,MDK Murcki,MDK Południe,M,65,mid,,,event,,1.0,,,,,recom,,week,group,,yes,foot,,,no,,event,1.0,1.0,,,,,1.0,,,,,,,,,,,,Katowice,Murcki
152,murck,MDK Murcki,MDK Południe,K,28,high,Technologia i inżynieria chemiczna,Politechnika Śląska,event,,,1.0,,,,outdr,,week,close,,yes,foot,,,no,,event,1.0,,,,,,1.0,,,,,,,,1.0,,Kompetencje miękkie,,Katowice,Murcki
153,dab,MDK Dąb,MDK Koszutka,K,69,high,,,event,,1.0,,,,,dirct,,month,topic,,no,car,,,no,,event,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,Spotkania z podroznikami,Katowice,Ligota – Panewniki
154,dab,MDK Dąb,MDK Koszutka,M,79,high,Budownictwo,Politechnika Śląska,event,,1.0,,,,,outdr,,month,group,,no,car,,,no,,event,,1.0,,,,1.0,,,,,,,,,,,,,,
155,dab,MDK Dąb,MDK Koszutka,M,13,none,,,event,,1.0,,,,,dirct,,week,group,,no,publc,Tram 19,,no,,event,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,1.0,,Graficzne,,Chorzów,
156,dab,MDK Dąb,MDK Koszutka,K,10,prim,,,event,,1.0,,,,,none,,week,close,,yes,foot,,,yes,,trnsp,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,Katowice,Śródmieście
157,dab,MDK Dąb,MDK Koszutka,M,34,mid,,,child,,,,1.0,,,www,,week,close,,yes,car,,,no,,event,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,1.0,1.0,,"Photoshop, grafika komputerowa",,Katowice,Wełnowiec – Józefowiec
158,dab,MDK Dąb,MDK Koszutka,K,34,mid,,,child,,,,1.0,,,wwmdk,,week,close,,yes,publc,50,,no,,event,1.0,,,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,,,
159,dab,MDK Dąb,MDK Koszutka,K,28,high,,,child,,,,1.0,,,wwmdk,,week,topic,,yes,car,,,no,,event,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,Katowice,
160,dab,MDK Dąb,MDK Koszutka,K,71,high,Wychowanie fizyczne,Akademia Wychowania Fizycznego w Katowicach,event,,,1.0,,,,guide,,month,topic,,no,publc,296,,no,,event,1.0,,,,,,1.0,1.0,,,,,,,,,,,Katowice,Koszutka
161,dab,MDK Dąb,MDK Koszutka,K,71,high,,,event,,,1.0,,,,guide,,week,topic,,yes,foot,,,no,,event,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,,Malarskie,,Katowice,Wełnowiec – Józefowiec
162,dab,MDK Dąb,MDK Koszutka,M,14,prim,,,child,,,,1.0,,,www,,less,topic,,yes,foot,,,no,,event,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,Katowice,Dąb
163,dab,MDK Dąb,MDK Koszutka,M,75,high,Chemia,Uniwersytet Śląski,event,,,1.0,,,,outdr,,month,topic,,yes,foot,,,no,,event,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,Katowice,Dąb
164,dab,MDK Dąb,MDK Koszutka,M,39,none,,,event,1.0,,,,,,recom,,month,other,,yes,foot,,,no,,trnsp,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,Siemianowice Śląskie,
165,dab,MDK Dąb,MDK Koszutka,K,71,mid,,,event,,,1.0,,,,guide,,month,topic,,yes,foot,,,no,,trnsp,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,Katowice,Dąb
166,murck,MDK Murcki,MDK Południe,K,59,high,Medycyna,Śląski Uniwersytet Medyczny,event,,,1.0,,,,recom,,week,topic,,yes,foot,,,no,,event,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,Katowice,Murcki
167,murck,MDK Murcki,MDK Południe,K,64,mid,,,event,,1.0,,,,,outdr,,week,topic,,yes,foot,,,no,,event,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,Katowice,Murcki
168,murck,MDK Murcki,MDK Południe,K,62,high,,Politechnika Śląska,event,,,1.0,,,,outdr,,week,close,,yes,car,,,no,,event,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,Katowice,Murcki
173,boguc,MDK Bogucice,MDK Bogucice-Zawodzie,M,75,high,Mechanika,,event,,1.0,,,,,recom,,month,close,,yes,foot,,,yes,,trnsp,1.0,,,,,,1.0,1.0,,,,,,,,,,,Katowice,Bogucice
174,boguc,MDK Bogucice,MDK Bogucice-Zawodzie,K,80,high,Ortopedia,,event,,,1.0,,,,recom,,month,topic,,yes,publc,600,,yes,Odległość od przystanku,trnsp,,,,1.0,,,1.0,,,,,,,,,,,,Katowice,Bogucice
175,boguc,MDK Bogucice,MDK Bogucice-Zawodzie,K,72,mid,,,event,,1.0,,,,,dirct,,month,free,,yes,foot,,,no,,event,,,,1.0,,,,,,,,,,,,1.0,,"Manifestacje, obchody",Katowice,Bogucice
176,boguc,MDK Bogucice,MDK Bogucice-Zawodzie,M,65,mid,,,event,,1.0,,,,,recom,,week,topic,,yes,car,,,no,,event,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,Katowice,Bogucice
177,boguc,MDK Bogucice,MDK Bogucice-Zawodzie,M,86,mid,,,event,,1.0,,,,,dirct,,month,close,,yes,foot,,,no,,event,,,,1.0,,,,,,,,,,,,1.0,,Dancing,Katowice,Bogucice
