venue,name_official,address_city,address_postalcode,address_street,address_district,address_neighbourhood,lat,lon
MDK Szopienice-Hall.,,Katowice,40-131,,Koszutka,,50.27112795533561,19.02303791086084
MDK Szopienice-Hall.,,Katowice,40-319,,Szopienice – Burowiec,,50.272413290117996,19.071618383958352
MDK Podlesie,,Katowice,,Łososiowa,Zarzecze,Zarzecze,50.19178640825057,18.949576963006944
MDK Piotrowice,,Katowice,40-750,,Kostuchna,,50.191084629034755,18.984484392545603
MDK Bogucice,MDK Bogucice-Zawodzie,Katowice,,,Bogucice,Bogucice,50.2703766,19.0403178
MDK Murcki,,Katowice,40-479,,Murcki,Murcki,50.19943606289726,19.042438873715245
MDK Ligota,MDK Ligota,Katowice,40-578,,Załęska Hałda – Brynów Część Zachodnia,Brynów,50.2333507085031,18.987105982164003
MDK Dąb,MDK Koszutka,Katowice,,,Dąb,Dąb,50.27130402950943,19.00262843527496
MDK Szopienice-West.,,Katowice,,Pogodna,Szopienice – Burowiec,Burowiec,50.273354299450396,19.07175482641732
MDK Koszutka,MDK Koszutka,Katowice,,,Śródmieście,Śródmieście,50.2528317,19.016786800000002
MDK Koszutka,MDK Koszutka,Katowice,,,Dąb,Dąb,50.27130402950943,19.00262843527496
MDK Podlesie,,Katowice,40-026,,Śródmieście,,50.25610616555047,19.024668603782345
MDK Piotrowice,,Katowice,40-641,,Piotrowice – Ochojec,,50.207942648808576,18.986944185326184
MDK Kostuchna,,Katowice,,,Kostuchna,Kostuchna,50.1861155,18.997560699999998
MDK Kostuchna,,Katowice,40-750,,Kostuchna,,50.191084629034755,18.984484392545603
MDK Zarzecze,,Katowice,40-748,,Zarzecze,Zarzecze,50.182854,18.947245000000002
MDK Piotrowice,,Katowice,,,Piotrowice – Ochojec,Piotrowice,50.2042283,18.9653742
MDK Kostuchna,,Katowice,40-619,,Piotrowice – Ochojec,,50.215327727541705,18.987556617554567
MDK Bogucice,MDK Bogucice-Zawodzie,Katowice,,,Bogucice,Bogucice,50.2703766,19.0403178
MDK Dąb,MDK Koszutka,Katowice,40-208,,Bogucice,,50.26680789412345,19.038371998746623
MDK Bogucice,MDK Bogucice-Zawodzie,Katowice,,,Bogucice,Bogucice,50.2703766,19.0403178
MDK Giszowiec,,Katowice,,Szopienicka,Janów – Nikiszowiec,,50.239860770180044,19.0768141621742
MDK Podlesie,,Katowice,,,Podlesie,Podlesie,50.1787489,18.9754915
MDK Zawodzie,MDK Bogucice-Zawodzie,Katowice,40-236,Łączna,Zawodzie,Zawodzie,50.260788579657536,19.061611858821266
